epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,5.421946601378612,5.469106571960449,1.31,5.74,1e-05
1,4.551894492369431,4.108029331970215,9.26,27.24,0.020008
2,4.448136703784649,4.014256080627441,10.57,30.06,0.04000600000000001
3,4.427196738658807,3.9488853118896485,11.9,33.05,0.06000400000000001
4,4.391921373514029,3.897189224243164,10.72,32.34,0.080002
5,4.354760081951435,3.6547571105957033,14.53,39.4,0.09993148359005492
6,4.31681113243103,3.5665278881073,16.69,42.37,0.09990134628777145
7,4.253568444496546,3.430301267242432,19.82,47.23,0.09986573728883678
8,4.223411889565297,3.2937842391967775,21.6,49.84,0.09982466049817898
9,4.175460426624005,3.1806679847717283,24.82,52.08,0.09977812042033099
10,4.12401635830219,3.1092670913696288,24.26,53.47,0.09972612215893682
11,4.068005026915134,2.9720835205078124,27.68,57.89,0.09966867141619182
12,4.025648560890785,2.8465196151733396,30.35,60.27,0.09960577449221733
13,3.9734549235074947,2.7550722892761232,32.91,63.6,0.09953743828436983
14,3.949619707083091,2.69652713508606,33.29,63.91,0.09946367028648462
15,3.905449615380703,2.5672945037841797,34.74,65.97,0.09938447858805392
16,3.862405863786355,2.3736972576141357,40.57,71.75,0.0992998718733399
17,3.862940304707258,2.406487092590332,40.05,69.79,0.09920985942042225
18,3.80812816681006,2.290298445892334,41.99,72.59,0.0991144511001808
19,3.8016477413666556,2.3684329528808594,41.05,71.62,0.09901365737521299
20,3.7383930683135986,2.255530586051941,44.59,75.3,0.09890748929868662
21,3.7200387997504993,2.1633661994934084,45.27,75.64,0.09879595851312768
22,3.699887510446402,2.1223734586715697,47.7,76.86,0.09867907724914365
23,3.694679195452959,2.129954999542236,46.15,75.62,0.09855685832408226
24,3.6760451946503077,2.0953957664489744,45.49,77.27,0.09842931514062592
25,3.6435202879783435,2.0794104539871214,47.27,76.91,0.09829646168532197
26,3.5954987183595315,1.9669049659729003,49.81,78.61,0.09815831252704893
27,3.6087704120538175,1.9275541925430297,50.7,79.14,0.09801488281541877
28,3.5095530473268948,1.906637490081787,52.08,80.95,0.0978661882791157
29,3.536304069788028,1.878009302520752,52.55,80.94,0.09771224522417127
30,3.5813230184408336,1.8661634841918946,52.68,80.6,0.09755307053217621
31,3.5253700360273705,1.834741273498535,53.89,81.57,0.09738868165842925
32,3.5221693411851542,1.88296721534729,52.52,80.64,0.09721909663002287
33,3.520210659198272,1.8267173427581787,52.96,81.51,0.09704433404386652
34,3.472928086305276,1.766598114013672,54.95,82.54,0.09686441306464712
35,3.462890165280073,1.7664534427642822,55.6,82.66,0.0966793534227276
36,3.475193926004263,1.7850519931793214,56.36,84.23,0.09648917541198312
37,3.4231153610425116,1.7000271238327027,56.43,84.23,0.0962938998875757
38,3.4493847284561547,1.8062899934768677,53.73,81.81,0.09609354826366709
39,3.4753634293874103,1.7270738695144654,56.29,84.48,0.09588814251107064
