epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,4.659128033809173,4.662553060913086,1.31,5.75,1e-05
1,4.548222793676914,4.301467808532715,6.96,22.41,0.020008
2,4.476445021996131,4.1903404582977295,8.56,26.24,0.04000600000000001
3,4.452518681990795,4.134537649536133,9.5,28.23,0.06000400000000001
4,4.425186553368202,4.050626124572754,10.49,30.61,0.080002
5,4.392291320898594,3.934482734680176,11.03,33.56,0.09993148359005492
6,4.359491290801611,3.8316376453399656,12.31,34.7,0.09990134628777145
7,4.310627525280683,3.7205196197509767,14.81,40.08,0.09986573728883678
8,4.287093746356475,3.585573295211792,17.27,43.87,0.09982466049817898
9,4.252670496549362,3.531042510986328,17.82,43.0,0.09977812042033099
10,4.214153613188328,3.4323640548706056,19.87,46.62,0.09972612215893682
11,4.169800782203675,3.3089414642333983,21.28,49.55,0.09966867141619182
12,4.132701451350481,3.3319793239593505,20.99,47.45,0.09960577449221733
13,4.082633744141995,3.159602554321289,24.91,53.31,0.09953743828436983
14,4.050888953453455,3.011848693084717,26.81,56.81,0.09946367028648462
15,4.002525008641756,2.8438572555541994,29.76,61.55,0.09938447858805392
16,3.9591425895690917,2.650900277709961,35.31,66.36,0.0992998718733399
17,3.952818294060536,2.6866711833953856,33.86,65.14,0.09920985942042225
18,3.8958083623494857,2.5898562969207766,35.15,66.41,0.0991144511001808
19,3.8842746899678158,2.6084993965148926,35.09,66.39,0.09901365737521299
20,3.8256048031342336,2.5548003856658936,37.17,68.24,0.09890748929868662
21,3.7993125243064685,2.4006233993530275,39.02,71.09,0.09879595851312768
22,3.781570083055741,2.3313777263641358,41.48,72.34,0.09867907724914365
23,3.7715135537661038,2.347626146697998,40.83,72.1,0.09855685832408226
24,3.7569797002352203,2.2642926383972166,41.02,73.79,0.09842931514062592
25,3.721765763943012,2.2459213539123537,43.45,73.82,0.09829646168532197
26,3.6746504282340027,2.1906434650421143,43.79,74.99,0.09815831252704893
27,3.683078403961964,2.145844217681885,44.76,75.98,0.09801488281541877
28,3.587815282895015,2.0476605850219727,48.33,78.86,0.0978661882791157
29,3.6063565034132736,2.0186408615112303,48.48,79.0,0.09771224522417127
30,3.6433370957007774,1.9980313228607178,48.68,79.0,0.09755307053217621
31,3.593509925940098,1.900180781555176,51.32,80.73,0.09738868165842925
32,3.5869879086812335,1.9693189359664918,49.06,79.06,0.09721909663002287
33,3.5795493248181467,1.8673085823059081,51.84,81.17,0.09704433404386652
34,3.531213441873208,1.8922156288146972,51.22,80.8,0.09686441306464712
35,3.5192505469689004,1.8956144268035888,51.54,80.27,0.0966793534227276
36,3.528796719893431,1.9514059223175049,50.9,80.0,0.09648917541198312
37,3.4810087986481495,1.8413100090026855,52.91,82.22,0.0962938998875757
38,3.4996525715558957,1.9966384391784668,48.97,78.75,0.09609354826366709
39,3.524722267419864,1.8561233669281005,53.44,82.49,0.09588814251107064
40,3.492904768845974,1.750655982208252,55.81,84.23,0.09567770515484184
41,3.4843512357809603,1.8389847244262696,52.83,81.82,0.09546225927180821
42,3.4510199956404857,1.757864726638794,55.36,83.57,0.09524182848803865
43,3.429775737493466,1.775091242980957,55.25,83.92,0.09501643697625267
44,3.4480147979198357,1.784062128829956,55.73,83.99,0.09478610945316945
45,3.41165448029836,1.715311912918091,56.89,84.69,0.09455087117679745
46,3.43929167282887,1.7182243900299072,57.26,84.67,0.09431074794366458
47,3.419718414086562,1.6892447179794312,57.23,84.94,0.09406576608598928
48,3.3784449002681636,1.6292910469055175,58.43,86.44,0.09381595246879296
49,3.3556388482069357,1.7308388778686523,57.74,84.64,0.09356133448695388
50,3.358414243429135,1.7081214502334594,57.35,84.22,0.093301940062203
51,3.3556069863148226,1.656116806411743,58.47,85.59,0.09303779764006216
52,3.40323194418198,1.6091709974288941,59.19,86.04,0.09276893618672453
53,3.3331700820189254,1.7334407039642334,57.64,85.38,0.09249538518587827
54,3.3020866088378122,1.5955636539459228,59.33,86.02,0.09221717463547324
55,3.3312944711782992,1.5665848501205444,60.73,86.94,0.09193433504443148
56,3.3473009317349165,1.5407900770187377,61.42,87.47,0.09164689742930143
57,3.3268247726636053,1.5520005235671996,60.67,87.76,0.09135489331085672
58,3.3549980194140705,1.5443891502380371,61.09,86.91,0.09105835471063954
59,3.352323290017935,1.7057185831069945,60.44,86.41,0.09075731414744907
60,3.3166079906316903,1.6374248106002807,59.24,86.28,0.0904518046337755
61,3.3161487029148984,1.5244230045318603,61.26,87.61,0.09014185967217977
62,3.29433211118747,1.4741804573059083,63.18,89.19,0.0898275132516197
63,3.3380844281269955,1.5217601110458374,61.98,87.78,0.08950879984372263
64,3.305640624119685,1.5801857191085815,61.15,87.54,0.08918575439900536
65,3.2721495610017044,1.5396697471618652,61.66,87.03,0.08885841234304126
66,3.2797576824824017,1.5814974937438966,62.47,88.07,0.08852680957257558
67,3.2824594418207806,1.575782709121704,62.93,88.13,0.08819098245158895
68,3.292060611798213,1.488203854560852,62.16,87.81,0.08785096780730957
69,3.2385097509775407,1.4407058835983277,62.64,88.82,0.08750680292617483
70,3.2154076246114878,1.4719019618988036,63.23,88.3,0.08715852554974234
71,3.2754322210947673,1.494398443031311,62.04,87.73,0.08680617387055112
72,3.2240633194263166,1.4969454244613647,62.13,88.12,0.08644978652793348
73,3.2240944458888126,1.5449339496612549,62.54,88.32,0.08608940260377762
74,3.2542514293621747,1.401806559944153,64.4,89.46,0.085725061618242
75,3.214804122998164,1.414307307434082,64.1,89.06,0.08535680352542145
76,3.2124953465584,1.4011734115600587,64.92,89.69,0.08498466870896572
77,3.226631928712894,1.4731221214294434,63.61,89.35,0.08460869797765098
78,3.2263616091165788,1.4669814361572266,63.03,88.61,0.0842289325609048
79,3.202646740277608,1.3970362771987914,64.51,89.1,0.08384541410428463
80,3.182902816014412,1.4216622659683227,65.67,89.42,0.08345818466491112
81,3.1912156698031304,1.424224935722351,64.79,89.23,0.08306728670685598
82,3.1869586901787,1.3954029354095459,65.75,89.61,0.08267276309648533
83,3.1709224205750686,1.52827754611969,64.25,89.26,0.08227465709775891
84,3.1557889375931176,1.4152569705963134,64.31,89.55,0.08187301236748575
